Counter,AvgRuntime(sec),MsgTimeMin(ms),MsgTimeMax(ms),MsgTimeMean(ms),MsgTimeStd(ms),AvgBandwidth(msg/sec),TimeStamp
0,111.297,2.304,31.622,17.405,1.081,0.898,09/14/24-13:39:18
1,100.079,3.591,30.519,17.331,0.905,0.999,09/14/24-13:41:28
2,100.072,5.091,29.485,17.222,0.928,0.999,09/14/24-13:43:38
3,100.07,2.339,29.886,18.624,1.279,0.999,09/14/24-13:45:48
4,100.078,1.319,28.869,15.189,2.341,0.999,09/14/24-13:47:58
5,100.086,2.384,29.649,18.862,1.096,0.999,09/14/24-13:50:09
6,100.075,2.994,31.385,16.582,0.986,0.999,09/14/24-13:52:19
7,100.079,4.506,29.655,17.562,0.972,0.999,09/14/24-13:54:29
8,100.07,3.235,33.468,15.123,0.838,0.999,09/14/24-13:56:39
9,100.073,1.018,25.798,13.071,3.423,0.999,09/14/24-13:58:49
10,100.072,1.845,27.262,15.441,2.895,0.999,09/14/24-14:00:59
11,100.077,1.79,31.07,17.821,1.166,0.999,09/14/24-14:03:09
12,100.078,4.168,30.586,18.045,0.991,0.999,09/14/24-14:05:20
13,100.077,2.184,29.35,17.485,0.944,0.999,09/14/24-14:07:30
14,100.076,1.813,27.121,15.726,3.808,0.999,09/14/24-14:09:40
15,100.08,2.189,33.522,16.724,0.774,0.999,09/14/24-14:11:50
16,100.088,1.387,27.05,12.987,4.014,0.999,09/14/24-14:14:00
17,100.061,2.125,27.432,13.797,0.873,0.999,09/14/24-14:16:10
18,100.072,1.753,28.095,15.665,2.457,0.999,09/14/24-14:18:20
19,100.071,1.556,29.847,16.161,1.107,0.999,09/14/24-14:20:30
20,100.078,2.326,30.994,17.832,1.224,0.999,09/14/24-14:22:41
22,100.073,4.626,30.611,18.26,1.043,0.999,09/14/24-14:27:01
23,100.081,1.599,25.081,13.161,4.504,0.999,09/14/24-14:29:11
24,100.08,4.959,29.578,17.863,0.996,0.999,09/14/24-14:31:21
25,100.074,2.936,32.033,18.495,1.31,0.999,09/14/24-14:33:31
26,100.078,1.998,32.858,18.402,1.135,0.999,09/14/24-14:35:41
27,100.078,3.49,30.351,18.2,1.225,0.999,09/14/24-14:37:52
28,100.079,3.281,34.101,18.488,1.139,0.999,09/14/24-14:40:02
29,100.063,1.41,28.641,15.074,0.69,0.999,09/14/24-14:42:12
30,100.07,1.536,25.784,13.51,3.479,0.999,09/14/24-14:44:22
31,100.081,1.854,28.951,16.807,1.172,0.999,09/14/24-14:46:32
32,100.071,2.565,33.683,18.481,1.23,0.999,09/14/24-14:48:42
33,100.079,0.802,24.982,13.018,4.297,0.999,09/14/24-14:50:52
34,100.084,2.086,29.094,18.067,1.112,0.999,09/14/24-14:53:02
35,100.067,2.028,31.086,16.114,3.662,0.999,09/14/24-14:55:13
36,100.081,1.303,31.778,13.154,1.827,0.999,09/14/24-14:57:23
37,100.074,5.338,29.175,17.922,1.142,0.999,09/14/24-14:59:33
38,100.076,3.926,30.035,17.01,0.912,0.999,09/14/24-15:01:43
39,100.079,3.427,30.135,17.647,1.3,0.999,09/14/24-15:03:53
40,100.069,2.474,37.997,17.538,1.216,0.999,09/14/24-15:06:03
41,100.076,3.218,28.745,17.558,0.981,0.999,09/14/24-15:08:13
42,100.072,3.563,29.089,17.346,1.102,0.999,09/14/24-15:10:23
43,100.079,2.718,30.864,18.156,1.18,0.999,09/14/24-15:12:34
44,100.082,2.921,30.463,17.65,1.007,0.999,09/14/24-15:14:44
45,100.075,2.861,31.412,17.56,1.005,0.999,09/14/24-15:16:54
46,100.085,3.032,30.408,17.986,1.085,0.999,09/14/24-15:19:04
47,100.075,2.432,28.433,17.194,1.053,0.999,09/14/24-15:21:14
48,100.079,1.654,27.973,15.034,4.261,0.999,09/14/24-15:23:24
49,100.07,2.181,25.042,10.36,1.656,0.999,09/14/24-15:25:34
50,100.072,1.773,28.133,13.447,4.072,0.999,09/14/24-15:27:45
51,100.074,2.399,30.09,17.725,1.126,0.999,09/14/24-15:29:55
52,100.08,3.188,32.037,16.537,0.863,0.999,09/14/24-15:32:05
53,100.072,2.294,32.94,17.237,1.03,0.999,09/14/24-15:34:15
54,100.071,3.135,29.084,16.598,0.839,0.999,09/14/24-15:36:25
55,100.074,1.718,29.411,13.737,0.627,0.999,09/14/24-15:38:35
56,100.077,3.232,30.977,17.351,1.149,0.999,09/14/24-15:40:45
57,100.079,4.621,33.798,18.865,1.265,0.999,09/14/24-15:42:55
58,100.072,2.068,29.392,16.519,1.191,0.999,09/14/24-15:45:06
59,100.073,2.495,33.158,15.913,1.406,0.999,09/14/24-15:47:16
60,100.077,4.108,29.987,17.023,1.032,0.999,09/14/24-15:49:26
61,100.076,1.85,30.361,16.985,1.027,0.999,09/14/24-15:51:36
62,100.073,1.859,28.703,16.468,3.284,0.999,09/14/24-15:53:46
63,100.074,3.365,31.003,17.392,0.916,0.999,09/14/24-15:55:56
64,100.066,1.486,29.912,16.402,1.641,0.999,09/14/24-15:58:06
65,100.065,1.836,31.113,15.701,1.829,0.999,09/14/24-16:00:16
66,100.074,1.557,28.391,16.52,1.573,0.999,09/14/24-16:02:27
67,100.073,2.326,29.733,16.548,0.887,0.999,09/14/24-16:04:37
68,100.078,2.273,28.052,16.323,0.645,0.999,09/14/24-16:06:47
69,100.076,5.569,30.951,17.623,0.958,0.999,09/14/24-16:08:57
70,100.077,3.921,29.7,17.236,1.105,0.999,09/14/24-16:11:07
71,100.076,3.286,30.015,18.306,1.188,0.999,09/14/24-16:13:17
72,100.07,3.712,29.887,18.489,1.351,0.999,09/14/24-16:15:27
73,100.073,1.918,27.376,12.267,3.294,0.999,09/14/24-16:17:37
