Counter,AvgRuntime(sec),MsgTimeMin(ms),MsgTimeMax(ms),MsgTimeMean(ms),MsgTimeStd(ms),AvgBandwidth(msg/sec),TimeStamp
0,100.095,6.062,120.256,41.975,6.071,0.999,09/15/24-00:40:49
1,100.096,4.358,82.951,36.743,5.914,0.999,09/15/24-00:42:59
2,100.091,4.121,88.127,39.74,7.639,0.999,09/15/24-00:45:09
3,100.126,2.613,124.326,17.285,4.24,0.999,09/15/24-00:47:20
4,100.095,3.542,88.879,42.391,8.09,0.999,09/15/24-00:49:30
5,100.097,4.038,89.958,46.777,4.968,0.999,09/15/24-00:51:40
6,100.102,2.173,64.778,24.728,8.763,0.999,09/15/24-00:53:50
7,100.09,4.238,92.801,42.038,7.066,0.999,09/15/24-00:56:00
8,100.112,2.698,83.474,33.088,10.888,0.999,09/15/24-00:58:10
9,100.089,3.96,114.033,39.304,7.233,0.999,09/15/24-01:00:21
10,100.089,5.535,99.384,40.185,6.872,0.999,09/15/24-01:02:31
11,100.093,4.722,78.175,36.395,6.352,0.999,09/15/24-01:04:41
12,100.093,3.794,111.085,43.809,7.867,0.999,09/15/24-01:06:51
13,100.168,1.68,157.781,10.522,2.555,0.998,09/15/24-01:09:01
14,100.091,4.237,107.853,37.328,6.806,0.999,09/15/24-01:11:12
15,100.091,3.466,92.147,43.932,7.887,0.999,09/15/24-01:13:22
16,100.093,3.688,112.715,38.173,6.439,0.999,09/15/24-01:15:32
17,100.092,2.527,82.56,37.099,5.806,0.999,09/15/24-01:17:42
18,100.111,3.871,101.735,29.568,4.054,0.999,09/15/24-01:19:52
19,100.096,3.194,116.34,40.21,6.03,0.999,09/15/24-01:22:02
20,100.098,4.492,84.879,36.817,6.566,0.999,09/15/24-01:24:12
21,100.088,5.622,118.913,38.399,6.824,0.999,09/15/24-01:26:23
22,100.108,2.656,94.213,23.131,6.847,0.999,09/15/24-01:28:33
23,100.116,2.163,52.331,20.747,3.722,0.999,09/15/24-01:30:43
24,100.095,1.108,83.529,37.913,6.199,0.999,09/15/24-01:32:53
25,100.1,4.972,112.768,37.534,5.296,0.999,09/15/24-01:35:03
26,100.096,4.578,90.033,41.29,5.695,0.999,09/15/24-01:37:13
27,100.098,3.037,76.968,33.202,11.274,0.999,09/15/24-01:39:24
28,100.094,3.059,106.677,34.159,10.18,0.999,09/15/24-01:41:34
29,100.095,2.586,95.339,27.652,9.564,0.999,09/15/24-01:43:44
30,100.094,3.089,81.9,36.848,9.043,0.999,09/15/24-01:45:54
31,100.107,2.528,55.596,21.135,5.238,0.999,09/15/24-01:48:04
32,100.101,2.293,77.305,30.879,11.092,0.999,09/15/24-01:50:14
33,100.098,2.589,70.483,25.338,9.715,0.999,09/15/24-01:52:25
34,100.079,4.878,70.07,29.295,4.917,0.999,09/15/24-01:54:35
35,100.08,2.804,91.751,40.647,5.202,0.999,09/15/24-01:56:45
36,100.123,2.34,90.828,18.223,5.871,0.999,09/15/24-01:58:55
37,100.112,3.408,109.846,22.7,3.028,0.999,09/15/24-02:01:05
38,100.134,2.528,84.327,16.408,4.321,0.999,09/15/24-02:03:16
39,100.098,4.132,85.257,43.246,6.432,0.999,09/15/24-02:05:26
40,100.128,2.504,127.638,16.011,3.85,0.999,09/15/24-02:07:36
41,100.104,2.657,58.908,21.37,8.888,0.999,09/15/24-02:09:46
42,100.117,1.932,79.655,19.135,6.287,0.999,09/15/24-02:11:56
43,100.132,2.131,82.008,17.445,3.571,0.999,09/15/24-02:14:07
44,100.097,3.219,87.052,30.108,10.411,0.999,09/15/24-02:16:17
45,100.107,2.189,62.927,18.972,7.742,0.999,09/15/24-02:18:27
46,100.103,2.376,77.735,22.765,6.515,0.999,09/15/24-02:20:37
47,100.102,2.685,79.533,32.189,10.439,0.999,09/15/24-02:22:47
48,100.089,4.244,88.197,42.942,7.393,0.999,09/15/24-02:24:57
49,100.088,4.092,84.507,35.74,6.053,0.999,09/15/24-02:27:08
50,100.093,3.741,87.991,32.805,6.105,0.999,09/15/24-02:29:18
51,100.095,4.519,81.376,38.269,6.927,0.999,09/15/24-02:31:28
52,100.096,3.935,89.307,39.09,5.76,0.999,09/15/24-02:33:38
53,100.122,2.342,97.011,23.553,6.911,0.999,09/15/24-02:35:48
54,100.099,3.419,97.598,32.354,5.4,0.999,09/15/24-02:37:58
55,100.1,2.708,92.437,29.088,9.93,0.999,09/15/24-02:40:09
56,100.098,4.151,90.458,39.31,6.374,0.999,09/15/24-02:42:19
57,100.098,4.884,93.46,41.06,6.117,0.999,09/15/24-02:44:29
58,100.105,2.933,107.127,24.958,5.124,0.999,09/15/24-02:46:39
59,100.096,4.693,87.04,43.11,6.873,0.999,09/15/24-02:48:49
60,100.119,3.874,106.332,29.635,5.076,0.999,09/15/24-02:50:59
