Counter,AvgRuntime(sec),MsgTimeMin(ms),MsgTimeMax(ms),MsgTimeMean(ms),MsgTimeStd(ms),AvgBandwidth(msg/sec),TimeStamp
0,100.106,5.244,252.388,40.821,7.494,0.999,03/07/25-14:26:36
1,100.106,1.203,730.713,22.06,1.789,0.999,03/07/25-14:28:46
2,100.113,1.051,722.023,33.966,3.871,0.999,03/07/25-14:30:56
3,100.079,0.725,47.545,13.918,1.181,0.999,03/07/25-14:33:07
4,100.105,5.541,176.704,38.366,4.959,0.999,03/07/25-14:35:17
5,100.069,3.414,780.124,23.275,1.662,0.999,03/07/25-14:37:27
6,100.111,1.028,732.793,36.59,4.468,0.999,03/07/25-14:39:37
7,100.08,3.565,201.727,20.908,3.25,0.999,03/07/25-14:41:47
8,100.137,0.896,732.538,33.312,4.801,0.999,03/07/25-14:43:57
9,100.069,4.843,721.905,28.776,2.902,0.999,03/07/25-14:46:07
10,100.099,1.146,141.661,26.639,5.443,0.999,03/07/25-14:48:18
11,100.064,3.618,791.288,37.586,4.855,0.999,03/07/25-14:50:28
12,100.113,0.598,1563.952,27.526,2.866,0.999,03/07/25-14:52:38
13,100.085,3.711,748.198,49.513,6.17,0.999,03/07/25-14:54:49
14,100.095,0.966,304.426,15.863,1.588,0.999,03/07/25-14:56:59
15,100.087,4.389,174.526,40.199,5.751,0.999,03/07/25-14:59:09
16,100.106,0.887,719.341,18.809,1.229,0.999,03/07/25-15:01:19
17,100.11,6.01,254.145,42.172,6.372,0.999,03/07/25-15:03:29
18,100.071,1.188,47.754,13.901,1.279,0.999,03/07/25-15:05:39
19,100.101,3.983,187.439,42.187,7.033,0.999,03/07/25-15:07:50
20,100.595,1.145,1614.131,25.047,3.655,0.994,03/07/25-15:10:00
21,100.093,4.335,142.077,36.03,6.283,0.999,03/07/25-15:12:10
22,100.088,2.592,54.991,11.494,0.897,0.999,03/07/25-15:14:21
23,100.093,2.998,119.226,29.142,7.608,0.999,03/07/25-15:16:31
24,100.155,0.992,749.074,22.38,2.689,0.998,03/07/25-15:18:41
25,100.088,5.492,303.063,31.837,4.191,0.999,03/07/25-15:20:51
26,100.162,0.839,763.297,20.461,1.671,0.998,03/07/25-15:23:01
27,100.077,4.004,726.96,43.297,5.998,0.999,03/07/25-15:25:12
28,100.121,0.954,736.899,23.164,1.77,0.999,03/07/25-15:27:22
29,100.069,5.857,292.748,45.392,6.227,0.999,03/07/25-15:29:32
30,100.065,0.872,46.609,12.024,1.404,0.999,03/07/25-15:31:42
